species,weight 
Antrozous_pallidus,20.8
Bauerus_dubiaquercus,22.9
Corynorhinus_rafinesquii,9.1
Corynorhinus_townsendii_ingens,9
Eptesicus_fuscus,16.5
Glossophaga_soricina,10
Lasionycteris_noctivagans,10.5
Lasiurus_borealis,10.7
Lasiurus_cinereus,25.3
Lasiurus_cinereus_semotus,25.3
Lasiurus_intermedius,23
Lasiurus_seminolus,9.9
Molossus_ater,31.7
Myotis_austroriparius,6.8
Myotis_evotis,6.7
Myotis_grisescens,10.5
Myotis_leibii,5.1
Myotis_lucifugus,7.6
Myotis_occultus,7.5
myotis_septentrionalis,6.5
Myotis_septentrionalis,7
Myotis_sodalis,6.9
Myotis_volans,8.5
Natalus_Mexicanus,4.5
Nycticeius_humeralis,9
Nyctinomops_macrotis,18.4
Perimyotis_subflavus,5.8
Pipistrellus_subflavus,5.8
Tadarida_brasiliensis,12.5
Myotis_keenii,6.3
